Account,date,total_closed_pnl,mean_closed_pnl,trade_count,total_size_usd,performance_category,value,classification,sentiment_score,classification_score
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-30,59.744873999999996,9.957479,6,41658.18,medium,84.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-02,9992.606503039955,188.5397453403765,53,124483.23999999999,high,80.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-03,121.535562,2.0599247796610167,59,99449.62,medium,76.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-04,4614.1954481599805,124.70798508540489,37,126798.84999999999,high,78.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-05,2069.92634,62.7250406060606,33,29373.46,high,84.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-06,-123.870122,-13.763346888888888,9,20916.4,low,72.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-10,130.883691,10.90697425,12,19024.84,medium,78.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-11,2959.0579477199935,155.73989198526283,19,124463.01000000001,high,74.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-12,6732.973328439987,108.59634400709656,62,345079.69,high,83.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-13,1966.9289449999999,31.221094365079363,63,114903.4,high,76.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-17,214.770101,14.318006733333334,15,15012.18,medium,87.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-20,305.55784,27.777985454545455,11,28702.37,medium,74.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-23,6.476289999999996,0.22332034482758606,29,221308.44,medium,70.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-24,343.63336100000004,31.239396454545457,11,28930.35,medium,73.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-30,0.19908,0.09954,2,68.42,medium,65.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-12-31,2243.319777,45.782036265306125,49,202247.56,high,64.0,Greed,70,70
